Discipline,Semester,Category,Credits,Course Code,Course Title,Mandatory,Weightage,Hardness
FYUGP Zoology,4,DSC,4,UK4DSCZOO201,Chordate Diversity -Part II,1.0,0.5,4.0
FYUGP Zoology,4,DSC,4,UK4DSCZOO202,Evolution and Zoogeography,1.0,0.5,4.0
FYUGP Zoology,5,DSC,4,UK5DSCZOO301,Developmental Biology,1.0,0.5,4.0
FYUGP Zoology,5,DSC,4,UK5DSCZOO302,Animal Physiology,1.0,0.5,4.0
FYUGP Zoology,6,DSC,4,UK6DSCZOO301,Cell and Molecular Biology,1.0,0.5,4.0
FYUGP Zoology,6,DSC,4,UK6DSCZOO302,Genetics and Biotechnology,1.0,0.5,4.0
FYUGP Zoology,1,DSC,4,UK1DSCZOO101,Non-Chordate Diversity -Part I,1.0,0.5,4.0
FYUGP Zoology,1,DSC,4,UK1DSCZOO102,Diversity of Non-Chordates,1.0,0.5,4.0
FYUGP Zoology,2,DSC,4,UK2DSCZOO101,Non-Chordate Diversity -Part II,1.0,0.5,4.0
FYUGP Psychology,7,DSC,4,UK7DSCPSY402,PSYCHOTHERAPY,1.0,0.5,4.0
FYUGP Psychology,3,DSC,4,UK3DSCPSY200,"MOTIVATION, EMOTION AND INDIVIDUAL DIFFERENCES",1.0,0.5,4.0
FYUGP Psychology,4,DSC,4,UK4DSCPSY210,DEVELOPMENTAL PSYCHOLOGY,1.0,0.5,4.0
FYUGP Psychology,5,DSC,4,UK5DSCPSY300,COUNSELLING PSYCHOLOGY,1.0,0.5,4.0
FYUGP Psychology,5,DSC,4,UK5DSCPSY301,SOCIAL BEHAVIOUR,1.0,0.5,4.0
FYUGP Psychology,5,DSC,4,UK5DSCPSY302,ABNORMAL PSYCHOLOGY-I,1.0,0.5,4.0
FYUGP Psychology,6,DSC,4,UK6DSCPSY303,FUNDAMENTALS OF PSYCHOLOGICAL RESEARCH,1.0,0.5,4.0
FYUGP Physics,3,DSC,4,UK3DSCPHY200,Basic Electronics,1.0,0.5,4.0
FYUGP Physics,4,DSC,4,UK4DSCPHY200,Classical Dynamics,1.0,0.5,4.0
FYUGP Physics,4,DSC,4,UK4DSCPHY201,Electromagnetics and Transient Currents,1.0,0.5,4.0
FYUGP Physics,5,DSC,4,UK5DSCPHY300,Optics,1.0,0.5,4.0
FYUGP Physics,5,DSC,4,UK5DSCPHY301,Quantum Mechanics - I,1.0,0.5,4.0
FYUGP Physics,5,DSC,4,UK5DSCPHY302,Thermodynamics & Statistical Mechanics,1.0,0.5,4.0
